run_id,backend,capa,N,samples,sync_p50_ms,apply_p50_ms,total_p50_ms,total_p95_ms,total_p99_ms,total_mean_ms,events_per_sec_p50
20260514-121546,FileSystem,1,1000,2,4.398,460.943,465.341,483.529,485.146,465.341,2149.0
20260514-121546,FileSystem,1,10000,2,30.803,4578.586,4609.390,4651.143,4654.854,4609.390,2169.5
20260514-121546,FileSystem,1,100000,2,241.271,41098.649,41339.920,41533.181,41550.360,41339.920,2419.0
20260514-121546,FileSystem,2,1000,2,3.579,454.031,457.611,481.555,483.683,457.611,2185.3
20260514-121546,FileSystem,2,10000,2,32.442,4536.814,4569.256,4795.628,4815.750,4569.256,2188.5
20260514-121546,FileSystem,2,100000,2,228.365,40841.773,41070.139,41097.888,41100.354,41070.139,2434.9
20260514-121546,MySQL,1,1000,2,3.604,1123.235,1126.840,1131.734,1132.169,1126.840,887.4
20260514-121546,MySQL,1,10000,2,26.127,10727.671,10753.799,11013.072,11036.118,10753.799,929.9
20260514-121546,MySQL,1,100000,2,245.151,99344.523,99589.675,99819.611,99840.049,99589.675,1004.1
20260514-121546,MySQL,2,1000,2,3.796,1073.987,1077.784,1161.322,1168.748,1077.784,927.8
20260514-121546,MySQL,2,10000,2,31.264,10939.171,10970.435,11392.827,11430.373,10970.435,911.5
20260514-121546,MySQL,2,100000,2,219.596,100155.245,100374.842,101255.391,101333.662,100374.842,996.3
20260514-121546,SQLServer,1,1000,2,3.402,1315.249,1318.651,1332.511,1333.743,1318.651,758.4
20260514-121546,SQLServer,1,10000,2,23.121,13072.575,13095.697,13297.769,13315.731,13095.697,763.6
20260514-121546,SQLServer,1,100000,2,244.312,130721.432,130965.743,131390.188,131427.917,130965.743,763.6
20260514-121546,SQLServer,2,1000,2,3.588,1305.668,1309.256,1316.346,1316.976,1309.256,763.8
20260514-121546,SQLServer,2,10000,2,20.983,12793.302,12814.285,12937.411,12948.356,12814.285,780.4
20260514-121546,SQLServer,2,100000,2,211.961,129460.495,129672.457,129713.955,129717.644,129672.457,771.2
